,0
330,"#saudemental, #Flamengo, #VamosFlamengo"
331,"#saudemental, #habitosaudavel"
332,"#bbb21, #meditacao, #lacração, #aprendizado, #saudemental"
333,"#saudemental, #amese, #cuidese"
334,"#tdi, #did, #pluraltalk, #pluralidade, #saudemental"
335,#saudeMental
336,"#formasdefalar, #Empatia, #Psicologia, #Ansiedad, #saudemental"
337,"#Musica, #Memories, #Saude, #Depressao, #saudemental"
338,"#secretariado, #novaera, #saudemental"
339,"#SaudeMental, #tcc, #pandemia, #medo, #Familia, #força"
340,"#paz, #SaudeMental, #detoxdaalma"
341,"#SaudeMental, #ForaBolsonaro, #DefendaoSUS"
342,"#saudemental, #doencascronicas, #fevereiroroxo"
343,"#ansiedade, #crises, #SaudeMental"
344,"#ficaemcasa, #saudemental, #mente_em_processo"
345,"#ansiedade, #SaudeMental"
346,"#BBB21, #grupao, #REDEBBB21, #SaudeMental"
347,"#saudemental, #saudeemocional, #expectativa, #façaterapia"
348,"#saudementaldapopulacaonegra, #populaçãonegra, #saudemental, #negritude, #psicologia"
349,"#BBB21, #SaudeMental"
350,"#meditacao, #mentoria, #SaudeMental"
351,"#bbtvi, #respeitopelosavate, #SaudeMental, #vergonhatvi"
352,"#COVID19, #saudemental"
353,"#Carnaval2021, #saudemental, #terapiaonline"
354,"#saudemental, #work, #mudancas"
355,"#UmPsicólogoPodeAjudar, #resiliência, #OPP, #saudemental, #saudepsicologica, #fadiga, #pandemia, #isolamento"
356,"#medicinadefamiliaecomunidade, #saudemental"
357,"#Psicoterapia, #saudemental"
358,"#BBB, #SaudeMental, #bbb21"
359,"#saude, #saudemental, #BBB2021"
360,"#saudemental, #toc"
361,"#saudemental, #bbtvi"
362,"#saudemental, #nisedasilveira"
363,"#pandemia, #carnaval, #carnaval, #saúdemental, #usemáscara"
364,"#pânico, #saúdemental, #Fantástico"
365,"#saúdemental, #CAPS"
366,"#hipnoterapia, #hipnose, #terapia, #desenvolvimentohumano, #saúdemental"
367,"#autocuidado, #saúdemental, #seameprimeiro"
368,"#urgência, #saúdemental"
369,"#respeito, #saudemental"
370,"#SaúdeMental, #GimaZen"
371,"#ansiedade, #saudemental, #Psicologia, #psicoterapia, #psicologa, #saude"
372,"#SaúdeMental, #bbtvi"
373,"#bbtvi, #saudemental"
374,"#sos, #VidaEquilibrium, #saudemental, #comedia, #brincadeira"
375,"#psicologia, #saudemental, #psico"
376,"#Vacina, #poema, #RIR, #palindromo, #terapia, #flexibilidade, #saudemental, #saudeemocional, #saude, #vacinacontracovid19, #vacinassalvamvidas, #vacinacovid19"
377,"#BBB21, #RedeBBB, #saudemental"
