,date,tweet,hashtags
107,2021-03-06,Já tá a ficando puto com o final de #EuMeimporto,#EuMeimporto
108,2021-03-06,"Eu já ia elogiar a Netflix pelo filme fodastico,mas pqp pq q a Marla tinha q morrer no final poha man. #EuMeimporto",#EuMeimporto
109,2021-03-06,"2 horas perdidas assistindo #EuMeImporto na Netflix. Que  bosta de filme ruim, péssimo.",#EuMeImporto
110,2021-03-06,"Assisti o filme ""Eu me importo"" na Netflix, começou parecia q seria um filmaço, me decepcionou. Cheio de furos de roteiro, achei q o Tyrion ia ser um grande mafioso, mas não prestou nem pra acabar com o esquema da mulher lá ou matar ela kkkk perdi meu tempo. #EuMeimporto",#EuMeimporto
111,2021-03-06,Eh mto facil se salvar qd se tem poderes sobrenaturais do rambo. Como essa mulher acordou depois de um sedativo ? #EuMeimporto,#EuMeimporto
112,2021-03-06,"Sabia que reinvindicar meu gênero pra alguns iria trazer consequências. E se não falar comigo porque eu sou é eficaz, uuuuuu, vou chorar no banho. #idgaf #EuMeimporto #SQN","#idgaf, #EuMeimporto, #SQN"
113,2021-03-06,"Eu tava assistindo o filme #eumeimporto na Netflix, e ele prende vc do início ao fim, umas viradas incríveis, uma estética clean... nossa muito bom porra!",#eumeimporto
114,2021-03-05,KKKKKKK adorei o final da leoa kkkkk #eumeimporto,#eumeimporto
115,2021-03-05,“Jogar limpo” é uma piada que os ricos inventaram para o resto de nós continuar pobre. #eumeimporto #ICareALot,"#eumeimporto, #ICareALot"
116,2021-03-05,Rosamund Pike absolutamente perfeita em tudo q se propõe fazer @NetflixBrasil #EuMeImporto,#EuMeImporto
117,2021-03-05,O que não me destrói me torna mais forte ☺ #blogpost #EuMeimporto #diadamulher #razaoes #Twitter,"#blogpost, #EuMeimporto, #diadamulher, #razaoes, #Twitter"
118,2021-03-05,"Estou assistindo o filme #EuMeImporto, achei bem legal. Porém, estou com sono e não vou dormir porque quero assistir esse filme.🏠😴🙂🍿🎥✨",#EuMeImporto
119,2021-03-04,"Gente acabei de assistir esse filme Incrível Em momento algum gostei da prota, ela é desprezível demais porém irresistível Esse plot foi ótimo É uma grande crítica ao mundo corporativo, realmente  #EuMeimporto",#EuMeimporto
121,2021-03-03,“Eu sou apenas uma mulher que gosta de cuidar”  QUE FILME BOM DA POHA #EuMeImporto,#EuMeImporto
122,2021-03-03,mano que filmao #eumeimporto parece um filme de coach mas é completamente divertido,#eumeimporto
123,2021-03-03,E vamos de #eumeimporto,#eumeimporto
124,2021-03-03,#eumeimporto é um filme bem bosta. Vcs são muito deslumbrados,#eumeimporto
125,2021-03-03,"Vamos falar de filme bom! #Eumeimporto na @netflix geeeente que filme top.  Quando eu já tava com raiva do final, o maluco do começo apareceu e salvou a bagaça.  #Netflix #filme","#Eumeimporto, #Netflix, #filme"
126,2021-03-03,"#EuMeImporto, filme original da #Netflix, um thriller bem humorano com ótimo elenco numa trama instigante e bem conduzida onde não há mocinhos, além de uma atenção especial à fotografia, algo pouco comum em obras desse gênero. #RECOMENDO","#EuMeImporto, #Netflix, #RECOMENDO"
127,2021-03-03,Eu gostei do que aconteceu no final de #EuMeimporto 😑,#EuMeimporto
128,2021-03-03,eu só sei q fiquei querendo ter tds os ternos da marla e uma fran tb #EuMeimporto,#EuMeimporto
129,2021-03-03,"Como eu só pego a noite no serviço hj, vamos de Netflix então. #EuMeimporto",#EuMeimporto
132,2021-03-03,"Haaaaa que ódio, me indicaram o filme #eumeimporto e eu achando que o final era bom... . . . Caralho o final é fodaaaaaa, que porraaaaaa “spoiler” ela morre🤦🏾‍♂️😨",#eumeimporto
133,2021-03-03,"Retiro o que eu disse, se fudeuuuuuuu kkkkkk kkkkkk kkkkkkkk #EuMeImporto",#EuMeImporto
