,date,tweet,hashtags
435,2019-12-26,#Dexter #AmericanHorrorStory #Supernatural #SessãodeTerapia #TheWalkingDead #OsNormais #OCantoDaSereia todas as séries que eu super curto no @globoplay 🤩  haja 💓,"#Dexter, #AmericanHorrorStory, #Supernatural, #SessãodeTerapia, #TheWalkingDead, #OsNormais, #OCantoDaSereia"
437,2019-12-19,To quase assinando @globoplay só pra ver #manifest e #sessaodeterapia,"#manifest, #sessaodeterapia"
438,2019-12-15,O melhor trabalho da Fabiula no ano nem foi em #BomSucesso. Foi em #SessãoDeTerapia,"#BomSucesso, #SessãoDeTerapia"
439,2019-12-10,"ontem eu vi o 1* Ep de #sessaodeterapia foi amor à primeira vista, gente eu fiquei tão impactada e refletindo os assuntos de um negócio de 20m Selton Mello DESTRUIU meu psicológico. OBRIGADA!",#sessaodeterapia
440,2019-12-08,assistindo #sessãodeterapia e é cada engolida em seco que a gente dá,#sessãodeterapia
441,2019-12-07,"ep.28 de #SessaodeTerapia é de chorar de tão lindo. Citam @djamila_ribeiro ,Neusa Santos e tantas outras pensadoras negras. Daí fui pesquisar sobre e o que descobri? O roteiro é de Luh Maza, 1ª roterista transexual da Globo  Além de conhecer a belissima @BelizePombal, que mulher!",#SessaodeTerapia
442,2019-12-05,#SessãoDeTerapia T4E28: RESISTÊNCIA.   #ConsciênciaNegra,"#SessãoDeTerapia, #ConsciênciaNegra"
443,2019-12-01,"Assistido a série #SessaoDeTerapia (ótima por sinal) já comentava comigo mesmo ""Preciso fazer isso ai"". Esse ano cheguei ao meu limite (mental) e finalmente comecei a fazer neste sábado. E já posso dizer: QUE SENSACIONAL 💙 Pq demorei tanto?",#SessaoDeTerapia
445,2019-11-24,"""Eu preciso que você me ajude a morrer."" #SessãoDeTerapia",#SessãoDeTerapia
447,2019-11-24,A Nana fala de terapia e eu só lembro da Chiara  #SessãoDeTerapia #BomSucesso   @globoplay @fabiunascimento,"#SessãoDeTerapia, #BomSucesso"
448,2019-11-19,"Eu realmente me apaixonei pela personagem da #morenabaccarin nessa série, juro nunca estive tão na dela 😍😍 #sessaodeterapia","#morenabaccarin, #sessaodeterapia"
450,2019-11-18,gostei da referência à #sessaodeterapia #BomSucesso,"#sessaodeterapia, #BomSucesso"
458,2019-11-14,Prêmio APCA 2019 - Indicadas - MELHOR ATRIZ  Débora Bloch (#SegundaChamada)  Fabiula Nascimento - Nana (Bom Sucesso e Sessão de Terapia) - #BomSucesso #SessãodeTerapia Grazi Massafera - Paloma - (#BomSucesso) Maria Casadevall (#CoisaMaisLinda) Marjorie Estiano (#SobPressão),"#SegundaChamada, #BomSucesso, #SessãodeTerapia, #BomSucesso, #CoisaMaisLinda, #SobPressão"
461,2019-11-11,Terminei de ver #SessãoDeTerapia agora e olha: que série linda! ❤❤❤  #Globoplay #SeltonMello,"#SessãoDeTerapia, #Globoplay, #SeltonMello"
463,2019-11-10,@calloni_antonio #Assedio #SobPressão #SessãoDeTerapia #SeEuFecharOsOlhosAgora   VOTEM!!!,"#Assedio, #SobPressão, #SessãoDeTerapia, #SeEuFecharOsOlhosAgora"
466,2019-11-10,Estou aqui chorando com o último episódio da dona Aide da série #sessãodeterapia com Selton Mello,#sessãodeterapia
467,2019-11-08,#lyria você está vendo isso .. ela fala que vai fazer compras e ensinar o povo a ser chique e olha onde ela está #SessaoDeTerapia 😍😂  #ADonaDoPedaco @WalcyrCarrasco,"#lyria, #SessaoDeTerapia, #ADonaDoPedaco"
469,2019-11-08,#SessaoDeTerapia que série incrível!! Nem tenho mais adjetivos pra elogiar pq já usei todos!,#SessaoDeTerapia
472,2019-11-01,@globoplay Muito inteligente esse menino. Tô viciada em #AvenidaBrasil #EramosSeis e #SessaoDeTerapia,"#AvenidaBrasil, #EramosSeis, #SessaoDeTerapia"
473,2019-10-30,não consigo assistir os eps da chiara/Joana e haidée de #sessãodeterapia sem chorar. putz.,#sessãodeterapia
475,2019-10-30,"""Vc acredita que ele teve a audácia de me beijar"" kkkk Ah dona Haidee #SessaodeTerapia @globoplay",#SessaodeTerapia
477,2019-10-28,"Não terminei #sessãodeterapia, já chegou #IlhaDeFerro2 e tô há dias desatualizada com #BomSucesso. Minha vida real está atrapalhando demais a vida que eu gosto","#sessãodeterapia, #IlhaDeFerro2, #BomSucesso"
483,2019-10-27,Viciado nas séries #Manifest e #sessãodeterapia. Porra!,"#Manifest, #sessãodeterapia"
484,2019-10-27,"“Tentar controlar o incontrolável, é o início do descontrole” #sessaodeterapia",#sessaodeterapia
485,2019-10-27,A Chiara da @fabiunascimento em #SessaodeTerapia é uma personagem tão maravilhosa. Eita série incrível.,#SessaodeTerapia
488,2019-10-26,to fazendo maratona #sessãodeterapia e tem um personagem fictício nesse seriado que já era bolsominion antes disso virar moda,#sessãodeterapia
489,2019-10-26,“Investigar o que nos paralisa é o único caminho para a libertação “                  Sensacional @missmorenab e Seton Mello !  #SessãoDeTerapia,#SessãoDeTerapia
